"Provplats ID (VISS)","Provplats ID (Stationsregistret)","Vattenförekomst ID (MS_CD)","Programområde","Delprogram"
"SE633989-140731",,"WA35245623","Sötvatten","Sjöar trendstationer"
"SE661206-147901",,"WA43691040","Sötvatten","Sjöar trendstationer"
"SE712246-170866",,"WA89985235","Sötvatten","Sjöar trendstationer"
"SE644987-152393",,"WA72743278","Sötvatten","Sjöar trendstationer"
"SE624038-143063",,"WA49933782","Sötvatten","Sjöar trendstationer"
"SE700796-136901",,"WA20212661","Sötvatten","Sjöar trendstationer"
"SE664410-136192",,,"Sötvatten","Sjöar trendstationer"
"SE659105-133982",,"WA62848185","Sötvatten","Sjöar trendstationer"
"SE690617-134197",,"WA93182800","Sötvatten","Sjöar trendstationer"
"SE663532-148571",,"WA61007061","Sötvatten","Sjöar trendstationer"
